Campaign Name,UTM Medium,UTM Source,Account Industry,Oppt Close Date,Stage,Opportunity Amount,City,State/Province,Account Rating
2016_00_InboundWeb_Request_A_Demo,cpc,bing,Small Business,1/20/2016,Closed Won,"$4,186 ",Chicago,IL,Under Contract
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,VA,
2016_00_InboundWeb_Request_A_Demo,,,Small Business,10/21/2016,Lost,"$3,887 ",Lakeland,FL,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,Dental,12/2/2016,Lost,"$3,887 ",Mocton,NB,Lost
2016_00_InboundWeb_Request_A_Demo,,,Lifestyle,11/3/2016,Forecast,"$3,887 ",Middletown,CT,Prospect
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,Dental,9/9/2016,Lost,"$3,887 ",Houston,Texas,Lost
2016_00_InboundWeb_Request_A_Demo,cpc,google,Automotive,2/17/2016,Closed Won,"$3,588 ",Springfield,OR,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,Automotive,11/11/2016,Lost,"$3,887 ",York,PA,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,,,,,SD,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,Dental,5/2/2016,Lost,"$3,887 ",,,Cancelled
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Small Business,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Lifestyle,10/14/2016,Lost,"$3,887 ",Hanover,MA,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Birmingham,AL,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,r.search.yahoo.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,na,na,Dental,6/30/2016,Closed Won,"$3,588 ",Basalt,CO,Under Contract
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Lexington,KY,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,Federal Way,WA,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Dental,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,none,direct,Medical,,,,,,Prospect
2016_00_InboundWeb_Request_A_Demo,email,WinOMS,,,,,Los Angeles,CA,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,Quincy,MA,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Hickory,NC,
2016_00_InboundWeb_InboundCall&Chat,na,na,,,,,Austin,TX,
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,5/20/2016,Lost,"$3,887 ",Chesapeake,VA,Lost
2016_00_InboundWeb_Request_A_Demo,cpc,google,Dental,,,,,,Prospect
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,Newport,Rode Island,
2016_00_InboundWeb_Request_A_Demo,none,direct,Lifestyle,10/28/2016,Lost,"$3,887 ",Scottsdale,AZ,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,cpc,bing,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Troy,Michigan,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Easley,SC,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Mt Pleasant,MI,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,1/25/2016,Lost,"$3,887 ",New York,NY,Lost
2016_00_InboundWeb_Request_A_Demo,,,,,,,East Meadow,NY,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,CA,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Lakeland,FL,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,1/31/2016,Closed Won,"$4,186 ",Hillsboro,MO,Under Contract
2016_00_InboundWeb_Request_A_Demo,referral,www.intuit.com,Small Business,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,TX,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,bing,,,,,,LA,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Dental,1/20/2016,Lost,"$3,887 ",Newton,NC,Cancelled
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Beaverton,Oregon,
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,Small Business,6/28/2016,Lost,"$3,887 ",Boonsboro,MD,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,MA,
2016_00_InboundWeb_Request_A_Demo,none,direct,Animal Care,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,Murrieta,CA,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Brooklyn,NY,
2016_00_InboundWeb_Request_A_Demo,cpc,bing,,,,,,CA,
2016_00_InboundWeb_Request_A_Demo,cpc,google,Small Business,8/26/2016,Lost,"$3,887 ",Baltimore,MD,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,Animal Care,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Dental,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,NY,NY,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Washington,DC,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,google,Medical,10/14/2016,Lost,"$3,887 ",Birmingham,AL,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,SK,
2016_00_InboundWeb_Request_A_Demo,referral,www.demandforced3.com,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,Vancouver,BC,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,Oceanside,CA,
2016_00_InboundWeb_Request_A_Demo,na,google,,,,,,,
2016_04_PPC_Google_Generic,na,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,Lifestyle,10/14/2016,Lost,"$3,887 ",Tampa,FL,Lost
2016_00_InboundWeb_Request_A_Demo,cpc,google,Small Business,1/29/2016,Lost,"$3,887 ",Frazer,PA,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Casper,WY,
2016_09_Hotleads_EngagementPrograms,organic,www.google.com,,,,,Casper,WY,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,CA,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,3/31/2016,Closed Won,"$3,289 ",,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,Fort Wayne,IN,Cancelled
2016_00_InboundWeb_Request_A_Demo,referral,www.intuit.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,Dental,12/16/2016,Lost,"$3,887 ",Nepean,ON,Lost
2016_00_InboundWeb_Request_A_Demo,organic,r.search.yahoo.com,Medical,1/31/2016,Closed Won,"$6,263 ",Bakersfield,CA,Cancelled
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Richland Hills,TX,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Lutherville,MD,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,OR,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Quincy,IL,
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,,,Lost
2016_00_InboundWeb_InboundCall&Chat,,,,,,,,CO,
2016_00_InboundWeb_Request_A_Demo,,,Animal Care,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Fremont,CA,
2016_00_InboundWeb_Request_A_Demo,cpc,google,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,Animal Care,10/7/2016,Lost,"$3,887 ",Richmond Hill,ON,Lost
2016_00_InboundWeb_Request_A_Demo,,,,,,,,NC,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Dental,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,referral,www.athenahealth.com,Medical,2/18/2016,Closed Won,"$2,990 ",San Jose,CA,Cancelled
2016_00_InboundWeb_Request_A_Demo,none,direct,Medical,1/31/2016,Closed Won,"$3,588 ",Madison Heights,MI,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Small Business,1/31/2016,Closed Won,"$4,186 ",Chelmsford,MA,Under Contract
2016_00_InboundWeb_Request_A_Demo,cpc,google,Dental,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,google,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,Small Business,1/28/2016,Closed Won,"$3,887 ",,FL,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Lifestyle,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,cpc,google,Automotive,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,bing,Automotive,1/21/2016,Closed Won,"$3,588 ",Blair,NE,Cancelled
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Surfside Beach,SC,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,CA,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,bing,,,,,Union,KY,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,Chantilly,VA,
2016_10_Email_ZocDoc Competitive Takeaway,,,,,,,Chantilly,VA,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,,NY,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,Pasadena,CA,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Saginaw,MI,
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,Automotive,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Burbank,Ca,
2016_00_InboundWeb_Request_A_Demo,cpc,google,Automotive,1/31/2016,Closed Won,"$3,588 ",,,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Dental,8/22/2016,Lost,"$3,887 ",,,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,Lifestyle,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,none,www.google.com,,,,,New York,NY,
2016_09_Hotleads_EngagementPrograms,none,www.google.com,,,,,New York,NY,
2016_00_InboundWeb_ContactUs,none,www.google.com,,,,,New York,NY,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,,OR,
2016_00_InboundWeb_Request_A_Demo,,,,,,,Fairfax,VA,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,Fairfax,VA,
2016_00_InboundWeb_ContactUs,,,,,,,Fairfax,VA,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,,WA,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,NY,
2016_09_Hotleads_EngagementPrograms,,,,,,,,NY,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,,NY,
2016_00_InboundWeb_ContactUs,,,,,,,,NY,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Atlanta,GA,
2016_00_InboundWeb_InboundCall&Chat,cpc,,,,,,,NJ,
2016_00_InboundWeb_Request_A_Demo,cpc,google,Medical,,,,,,Undefined
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,2/15/2016,Lost,"$3,887 ",,,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,,,,,St. Albert,AB,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,Sacramento,CA,
2016_00_InboundWeb_Request_A_Demo,cpc,bing,,,,,,PA,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Bellevue,Washington,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,Medical,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,,,Dental,1/31/2016,Closed Won,"$3,289 ",,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,Toronto,ON,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,6/30/2016,Lost,"$5,467 ",Alabaster,AL,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,,,,,Toronto,ON,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Boca Raton,FL,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,,GA,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Small Business,7/29/2016,Lost,"$3,887 ",Pflugerville,TX,Lost
2016_00_InboundWeb_Request_A_Demo,cpc,bing,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,search.aol.com,Automotive,1/31/2016,Closed Won,"$3,289 ",Phoenix,AZ,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Dental,12/17/2016,Forecast,"$3,887 ",Davenport,FL,Prospect
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,Edmonton,AB,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,11/28/2016,Lost,"$3,887 ",Prairie Village,KS,Lost
2016_00_InboundWeb_Request_A_Demo,,,Small Business,3/25/2016,Closed Won,"$2,988 ",Byron Center,MI,Under Contract
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,,,,,,,Chicago,IL,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,Chicago,IL,
2016_00_InboundWeb_ContactUs,,,,,,,Chicago,IL,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Lifestyle,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_InboundCall&Chat,,,,,,,Pensacola,FL,
2016_00_InboundWeb_Request_A_Demo,cpc,bing,Dental,8/23/2016,Lost,"$3,887 ",Aurora,IL,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,Automotive,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,,,Lifestyle,10/14/2016,Lost,"$3,887 ",Toronto,ON,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,Animal Care,8/26/2016,Lost,"$3,887 ",Webster,TX,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,Lifestyle,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,Automotive,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,,,Medical,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Automotive,,,,Medford,NY,Cancelled
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,,,,,,,Richardson,TX,
2016_00_InboundWeb_Request_A_Demo,none,direct,Lifestyle,,,,Orlando,FL,Cancelled
2016_00_InboundWeb_Request_A_Demo,cpc,bing,,,,,Naples,FL,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,,,Medical,2/22/2016,Lost,"$3,887 ",Austin,TX,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,Broomfield,CO,
2016_00_InboundWeb_Request_A_Demo,none,direct,Lifestyle,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,,,Animal Care,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Lifestyle,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,referral,quickbooks.intuit.com,,,,,,OK,
2016_00_InboundWeb_Request_A_Demo,cpc,google,Medical,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,cpc,google,Dental,12/19/2016,Demo,"$3,887 ",Rapid City,South Dakota,Prospect
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Lifestyle,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Surfside,FL,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Dental,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,7/29/2016,Lost,"$3,887 ",,,Lost
2016_00_InboundWeb_Request_A_Demo,referral,email.demandforce.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Seattle,WA,
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,,,,,El Centro,CA,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Dental,11/18/2016,Lost,"$3,887 ",Carmichael,CA,Lost
2016_00_InboundWeb_Request_A_Demo,,,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,TN,
2016_00_InboundWeb_Request_A_Demo,referral,email.demandforce.com,,,,,Ames,IA,
2016_00_InboundWeb_Request_A_Demo,cpc,google,Animal Care,9/2/2016,Lost,"$3,887 ",Marion,IA,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,Lifestyle,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,facebook,Lifestyle,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Animal Care,3/28/2016,Closed Won,"$4,378 ",Frederick,Maryland,Under Contract
